number,photo number,Anto,Darkness Value,R,G,B,R+G,2G-R,2G-B,"K=1,R","K=1,G","K=1,B","K=1,R+G","K=1,2G-R","K=1,2G-B",K
1,2,0.306435255,0.33655439,132,147,76,279,163,219,106,120,58,226,135,182,2
2,3,0.40275435,0.25169076,137,151,80,287,164,221,114,127,65,241,139,188,2
3,4,0.323307419,0.28375385,130,145,76,274,160,213,106,120,60,227,134,180,2
4,6,0.602684211,0.29844731,131,146,76,277,161,216,108,122,59,230,136,185,2
5,7,0.228440997,0.25602473,121,137,69,258,152,205,103,117,56,219,131,178,2
6,8,0.292324214,0.2992604,127,144,71,271,162,218,105,121,56,225,136,185,2
7,10,0.275705833,0.33370705,128,144,73,272,160,215,103,118,56,221,132,180,2
8,1,2.174108147,0.61307538,140,143,81,283,145,204,102,103,52,205,104,154,3
9,2,2.005322074,0.64765502,137,143,87,279,149,199,92,95,53,187,98,137,3
10,3,3.122984606,0.64867841,146,148,88,294,149,207,103,104,54,207,105,154,3
11,4,3.138356706,0.65071913,134,138,84,272,142,192,92,93,52,184,94,134,3
12,7,2.902009265,0.69909856,140,144,91,284,148,197,92,93,53,184,93,132,3
13,9,2.696257459,0.644555,130,135,82,265,140,188,91,93,51,184,95,135,3
14,10,3.182941734,0.59195781,125,131,79,256,136,182,90,94,52,184,97,135,3
15,1,2.64188957,0.78369828,126,131,79,257,135,182,86,88,48,174,90,128,3
16,2,2.268949995,0.63464084,141,149,92,290,158,207,99,104,58,203,108,150,3
17,6,2.839796793,0.64327949,152,160,93,312,168,227,106,109,57,215,112,161,3
18,7,2.856811823,0.67570037,133,139,85,271,145,192,90,92,52,182,95,133,3
19,8,2.624035137,0.68740356,126,133,80,258,140,186,82,83,47,165,85,120,3
20,9,2.181746358,0.59277267,133,139,86,271,145,192,97,100,57,197,103,143,3
21,10,2.586881263,0.63642946,142,148,85,290,155,211,102,105,55,207,109,156,3
22,1,3.359128155,0.74325466,133,137,93,270,141,181,84,84,52,169,84,117,3
23,2,2.302038178,0.66735791,125,128,82,254,131,174,86,87,50,172,88,124,3
24,3,2.520855923,0.6832945,130,134,85,264,138,183,87,87,51,174,88,124,3
25,5,2.767776707,0.73593647,131,136,89,267,141,183,84,84,51,168,83,117,3
26,6,4.2599523,0.67017865,131,137,86,269,144,189,89,91,53,180,93,129,3
27,8,3.140925263,0.62254218,141,147,94,289,154,201,99,101,60,200,102,141,3
28,10,4.245323367,0.69378547,141,142,98,282,142,185,96,92,60,188,87,123,3
29,1,0.948583954,0.36349535,118,130,71,249,142,190,93,104,53,197,115,155,2
30,2,0.582195087,0.34080973,123,134,75,256,145,193,97,108,57,206,119,160,2
31,4,1.074740783,0.34502359,133,145,83,278,157,207,107,118,63,225,130,173,2
32,5,0.668585967,0.33671593,128,139,77,268,151,201,104,115,59,219,125,170,2
33,6,0.774034895,0.34149022,125,136,75,261,148,198,100,110,57,210,120,163,2
34,7,1.019932996,0.34296593,120,132,71,252,144,193,96,107,54,203,118,160,2
35,9,0.677866517,0.3470923,121,131,71,252,142,191,96,106,54,202,117,159,2
36,2,0.582899353,0.12484,164,191,47,355,217,335,151,175,43,326,200,308,2
37,4,0.387612529,0.13558685,167,193,50,360,219,336,153,177,45,330,202,309,2
38,6,0.557202529,0.08224817,169,195,58,365,222,333,158,183,55,341,207,311,2
39,8,0.417212588,0.07762669,158,189,42,347,219,336,148,177,39,325,205,314,2
40,9,0.37274049,0.89926905,165,193,42,359,222,345,152,178,39,330,204,317,2
41,10,0.380199137,0.07458896,163,192,44,355,222,340,152,180,42,332,208,318,2
42,3,0.662464196,0.09630858,170,195,50,365,220,340,157,180,46,337,204,315,2
43,5,0.347839569,0.06255658,164,192,43,357,220,341,155,182,41,337,208,322,2
44,7,0.424496686,0.08136792,171,197,48,368,223,347,159,183,44,342,208,322,2
45,8,0.377385686,0.08754381,162,190,47,352,217,332,152,177,44,329,203,310,2
46,9,0.321371216,0.0754892,164,191,47,355,219,335,153,179,45,332,205,313,2
47,10,0.403438078,0.25550105,171,194,57,365,218,332,150,172,48,322,193,296,2
48,1,0.772046588,0.09253344,30,34,11,65,38,58,153,176,43,329,198,308,2
49,3,0.658664961,0.10757183,164,189,49,352,214,328,151,174,45,325,197,302,2
50,5,0.638898608,0.12987847,165,191,49,355,216,332,151,174,45,325,198,304,2
51,7,0.620782431,0.12472688,162,188,45,351,214,331,149,173,41,322,197,305,2
52,8,0.881142039,0.11699284,164,191,46,355,217,336,149,173,42,322,197,305,2
53,9,0.679648804,0.16073587,165,190,50,355,215,330,148,171,44,319,194,297,2
54,4,0.780190333,0.28678138,173,194,61,367,215,327,151,170,50,321,190,291,2
55,5,0.543664431,0.31562835,169,189,66,358,209,312,143,160,52,303,178,268,2
56,6,0.593772667,0.29908834,171,194,60,364,217,327,147,168,48,316,189,289,2
57,7,0.688003373,0.29579814,169,191,61,360,213,321,145,164,49,309,184,279,2
58,8,0.917337161,0.28085106,174,190,68,364,206,313,151,165,55,316,180,275,2
59,9,0.718550118,0.30946617,177,189,69,366,202,309,151,162,55,313,174,269,2
60,1,0.996476784,0.11035161,163,187,48,350,211,326,150,172,44,322,195,300,2
61,2,1.253418392,0.101865,164,189,48,353,213,329,151,173,44,324,195,302,2
62,4,1.040726706,0.15250578,163,188,51,351,213,325,148,170,45,318,193,295,2
63,8,1.173242529,0.10989244,166,189,50,354,212,328,153,174,46,326,195,302,2
64,9,1.470844974,0.1412282,169,192,53,361,216,332,153,174,47,327,196,301,2
65,10,0.822861843,0.1773332,163,187,59,350,211,314,146,167,52,313,189,283,2
66,1,2.450590549,0.13768608,162,186,54,348,211,319,147,169,48,316,192,290,2
67,2,1.620632078,0.27836169,170,193,58,363,217,329,147,168,47,315,189,289,2
68,4,1.303506176,0.29403189,169,192,62,362,215,322,146,166,50,312,186,282,2
69,6,2.030439925,0.30147593,170,189,67,360,208,312,143,160,53,303,177,267,2
70,7,1.516024275,0.24000441,168,191,57,359,215,325,145,166,47,311,186,284,2
71,10,1.787150442,0.0954053,164,185,49,349,206,321,151,172,45,323,192,298,2
72,2,1.966,0.10995073,161,182,51,343,203,313,148,167,47,314,186,286,2
73,4,2.667,0.13982011,160,183,55,343,205,310,143,163,49,307,184,278,2
74,5,1.827,0.10319987,162,187,46,349,211,327,149,172,42,321,194,301,2
75,6,1.598,0.20840082,166,190,53,356,214,327,146,168,46,314,190,290,2
76,8,1.860026176,0.27929583,170,187,64,357,204,310,144,159,52,303,175,266,2
77,10,2.384114824,0.10623827,164,191,50,355,217,331,151,175,46,325,199,303,2
